name,age_group,population
Afghanistan,0-4,6716085
Afghanistan,5-19,16109525
Afghanistan,20-49,15678529
Afghanistan,50-64,2536113
Afghanistan,65+,1004402
Albania,0-4,143687
Albania,5-19,500107
Albania,20-49,1162743
Albania,50-64,530645
Albania,65+,464476
Algeria,0-4,4696912
Algeria,5-19,13052315
Algeria,20-49,19656224
Algeria,50-64,6081967
Algeria,65+,3009676
Andorra,0-4,2443
Andorra,5-19,11678
Andorra,20-49,34837
Andorra,50-64,19712
Andorra,65+,12747
Angola,0-4,6284646
Angola,5-19,14242255
Angola,20-49,13139647
Angola,50-64,2589901
Angola,65+,1056406
Antigua_and_Barbuda,0-4,5463
Antigua_and_Barbuda,5-19,17815
Antigua_and_Barbuda,20-49,40963
Antigua_and_Barbuda,50-64,18541
Antigua_and_Barbuda,65+,10767
Argentina,0-4,2661627
Argentina,5-19,10862783
Argentina,20-49,19793324
Argentina,50-64,6686170
Argentina,65+,5613872
Armenia,0-4,178230
Armenia,5-19,587819
Armenia,20-49,1281071
Armenia,50-64,539232
Armenia,65+,398086
Australia,0-4,1702915
Australia,5-19,5240619
Australia,20-49,11259925
Australia,50-64,4924317
Australia,65+,3453627
Australia_Australian_Capital_Territory,0-4,31425
Australia_Australian_Capital_Territory,5-19,83619
Australia_Australian_Capital_Territory,20-49,205129
Australia_Australian_Capital_Territory,50-64,77714
Australia_Australian_Capital_Territory,65+,43562
Australia_New_South_Wales,0-4,594663
Australia_New_South_Wales,5-19,1669944
Australia_New_South_Wales,20-49,3545165
Australia_New_South_Wales,50-64,1585626
Australia_New_South_Wales,65+,1154111
Australia_Northern_Territory,0-4,21279
Australia_Northern_Territory,5-19,57063
Australia_Northern_Territory,20-49,123563
Australia_Northern_Territory,50-64,44002
Australia_Northern_Territory,65+,15997
Australia_Queensland,0-4,363284
Australia_Queensland,5-19,1096390
Australia_Queensland,20-49,2249438
Australia_Queensland,50-64,978612
Australia_Queensland,65+,667079
Australia_South_Australia,0-4,120579
Australia_South_Australia,5-19,374702
Australia_South_Australia,20-49,802651
Australia_South_Australia,50-64,385863
Australia_South_Australia,65+,289370
Australia_Tasmania,0-4,39642
Australia_Tasmania,5-19,122753
